Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -DL -O11111114 -fo8 -N"C:\Users\User\Documents\libusb_radio_MCP2210\RadioPIC\Receptor_term2\Receptor_term2.mcppi" -SP"C:\Users\User\Documents\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Users\User\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\User\Documents\libusb_radio_MCP2210\RadioPIC\Receptor_term2\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"D:\Dados\Dropbox\UFSM\Gmicro\Term_Radio\Receptor_term2\" "Receptor_term2.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_256.mcl" "__Lib_FLASH_w32_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'D:\Dados\Dropbox\UFSM\Gmicro\Term_Radio\Receptor_term2'	 
diagnostics: 0	121	Compilation Started	__Lib_Delays.c
diagnostics: 139	122	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	125	All files Preprocessed in 47 ms	 
diagnostics: 0	121	Compilation Started	Receptor_term2.c
diagnostics: 856	122	Compiled Successfully	Receptor_term2.c
diagnostics: 0	126	All files Compiled in 702 ms	 
hint: 0	1140	Used RAM (bytes): 111 (7%)  Free RAM (bytes): 1404 (93%)	Used RAM (bytes): 111 (7%)  Free RAM (bytes): 1404 (93%)
hint: 0	1140	Used ROM (bytes): 3158 (10%)  Free ROM (bytes): 29610 (90%)	Used ROM (bytes): 3158 (10%)  Free ROM (bytes): 29610 (90%)
diagnostics: 0	124	Project Linked Successfully	Receptor_term2.mcppi
diagnostics: 0	127	Linked in 1092 ms	 
diagnostics: 0	128	Project 'Receptor_term2.mcppi' completed: 2699 ms	 
diagnostics: 0	103	Finished successfully: 24 set 2015, 16:54:22	Receptor_term2.mcppi
